R, 118.9, 118.9_err, 121.9, 121.9_err, 125.0, 125.0_err, 128.0, 128.0_err, 131.0, 131.0_err, 134.1, 134.1_err, 137.1, 137.1_err, 140.2, 140.2_err, 143.2, 143.2_err, 146.2, 146.2_err, 149.2, 149.2_err, 152.3, 152.3_err, 155.3, 155.3_err, 158.4, 158.4_err, 161.4, 161.4_err, 164.4, 164.4_err, 167.5, 167.5_err, 170.5, 170.5_err, 173.5, 173.5_err, 176.6, 176.6_err, 179.6, 179.6_err, 182.6, 182.6_err, 185.7, 185.7_err, 188.7, 188.7_err, 191.7, 191.7_err, 194.8, 194.8_err, 197.8, 197.8_err, 200.8, 200.8_err
mm, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa, Pa
560.5, 1.24e+01, 2.26e+00, 5.89e+01, 9.10e+00, 1.38e+01, 2.96e+00, 2.57e+01, 4.30e+00, 5.32e+01, 7.62e+00, 7.79e+01, 7.73e+00, 4.74e+01, 5.46e+00, 1.01e+02, 9.32e+00, 1.02e+02, 1.15e+01, 2.47e+02, 2.05e+01, 2.13e+02, 1.88e+01, 2.73e+02, 2.32e+01, 3.15e+02, 2.71e+01, 3.04e+02, 2.59e+01, 3.23e+02, 2.79e+01, 4.74e+02, 3.53e+01, 4.74e+02, 3.56e+01, 6.70e+02, 4.86e+01, 6.94e+02, 4.98e+01, 3.96e+02, 2.89e+01, 4.72e+02, 3.36e+01, 4.73e+02, 3.74e+01, 5.85e+02, 3.86e+01, 4.59e+02, 3.10e+01, 3.76e+02, 2.63e+01, 6.77e+02, 4.87e+01, 3.74e+02, 2.84e+01, 3.03e+02, 2.24e+01
550.0, 8.58e+00, 1.82e+00, 6.89e+01, 8.89e+00, 2.36e+01, 4.35e+00, 8.05e+01, 1.06e+01, 1.42e+02, 1.49e+01, 9.59e+01, 9.44e+00, 1.17e+02, 1.25e+01, 1.95e+02, 1.68e+01, 2.17e+02, 2.02e+01, 3.23e+02, 2.72e+01, 4.71e+02, 3.96e+01, 3.75e+02, 2.94e+01, 4.42e+02, 3.64e+01, 4.44e+02, 3.64e+01, 5.26e+02, 3.92e+01, 6.60e+02, 4.75e+01, 1.04e+03, 6.79e+01, 8.47e+02, 5.69e+01, 1.39e+03, 8.44e+01, 6.63e+02, 4.24e+01, 7.72e+02, 5.19e+01, 9.18e+02, 5.88e+01, 1.02e+03, 6.19e+01, 7.24e+02, 4.42e+01, 6.51e+02, 4.39e+01, 1.11e+03, 7.74e+01, 8.42e+02, 5.52e+01, 5.89e+02, 4.14e+01
529.5, 9.67e+00, 1.21e+00, 6.33e+01, 6.36e+00, 5.25e+01, 4.75e+00, 5.78e+01, 5.71e+00, 1.49e+02, 9.87e+00, 2.81e+02, 1.62e+01, 2.18e+02, 1.36e+01, 4.43e+02, 2.49e+01, 6.59e+02, 3.41e+01, 6.43e+02, 3.13e+01, 7.45e+02, 3.94e+01, 8.60e+02, 3.74e+01, 9.31e+02, 4.31e+01, 1.03e+03, 4.69e+01, 8.74e+02, 4.06e+01, 1.73e+03, 6.67e+01, 1.78e+03, 6.72e+01, 2.33e+03, 8.70e+01, 2.24e+03, 8.84e+01, 1.77e+03, 6.34e+01, 2.10e+03, 7.30e+01, 2.10e+03, 7.15e+01, 2.67e+03, 9.31e+01, 2.15e+03, 7.09e+01, 1.94e+03, 6.96e+01, 2.40e+03, 8.49e+01, 1.86e+03, 6.42e+01, 1.83e+03, 6.38e+01
505.0, 9.59e+00, 1.12e+00, 1.07e+02, 8.79e+00, 1.42e+02, 1.01e+01, 2.28e+02, 1.45e+01, 3.31e+02, 2.10e+01, 5.02e+02, 2.70e+01, 5.78e+02, 3.08e+01, 7.08e+02, 3.41e+01, 1.37e+03, 5.63e+01, 1.80e+03, 6.90e+01, 1.90e+03, 7.24e+01, 2.05e+03, 7.66e+01, 1.91e+03, 8.00e+01, 2.28e+03, 8.33e+01, 2.48e+03, 9.61e+01, 3.37e+03, 1.16e+02, 3.68e+03, 1.22e+02, 4.47e+03, 1.43e+02, 5.10e+03, 1.75e+02, 5.10e+03, 1.66e+02, 5.13e+03, 1.54e+02, 5.02e+03, 1.53e+02, 5.18e+03, 1.58e+02, 4.99e+03, 1.48e+02, 5.02e+03, 1.44e+02, 4.49e+03, 1.40e+02, 5.21e+03, 1.57e+02, 5.22e+03, 1.57e+02
481.0, 7.28e+00, 9.15e-01, 3.56e+01, 3.31e+00, 3.00e+02, 1.89e+01, 6.05e+02, 3.34e+01, 6.26e+02, 3.25e+01, 8.40e+02, 4.00e+01, 1.03e+03, 4.55e+01, 1.87e+03, 7.06e+01, 2.13e+03, 7.54e+01, 2.75e+03, 9.35e+01, 3.21e+03, 1.15e+02, 3.55e+03, 1.20e+02, 3.55e+03, 1.23e+02, 4.26e+03, 1.35e+02, 4.24e+03, 1.43e+02, 5.73e+03, 1.76e+02, 6.09e+03, 1.92e+02, 7.94e+03, 2.51e+02, 6.21e+03, 1.96e+02, 6.56e+03, 1.92e+02, 8.56e+03, 2.51e+02, 9.28e+03, 2.66e+02, 7.53e+03, 2.27e+02, 9.34e+03, 2.65e+02, 8.48e+03, 2.33e+02, 7.08e+03, 1.96e+02, 8.35e+03, 2.41e+02, 7.88e+03, 2.15e+02
457.5, 1.20e+01, 1.39e+00, 2.07e+01, 1.79e+00, 2.45e+02, 1.49e+01, 6.61e+02, 3.65e+01, 9.59e+02, 4.91e+01, 1.39e+03, 5.51e+01, 1.59e+03, 6.65e+01, 2.42e+03, 8.90e+01, 2.71e+03, 9.56e+01, 3.60e+03, 1.11e+02, 4.03e+03, 1.37e+02, 5.21e+03, 1.57e+02, 4.39e+03, 1.41e+02, 5.14e+03, 1.61e+02, 5.58e+03, 1.89e+02, 6.16e+03, 1.86e+02, 6.59e+03, 1.98e+02, 7.16e+03, 2.32e+02, 5.64e+03, 1.99e+02, 6.24e+03, 1.92e+02, 7.79e+03, 2.40e+02, 8.48e+03, 2.61e+02, 6.74e+03, 1.97e+02, 8.30e+03, 2.36e+02, 9.42e+03, 2.64e+02, 7.29e+03, 2.04e+02, 7.79e+03, 2.26e+02, 9.55e+03, 2.53e+02
434.0, 1.26e+01, 1.32e+00, 2.12e+01, 2.03e+00, 1.34e+02, 7.41e+00, 6.41e+02, 3.21e+01, 9.88e+02, 4.19e+01, 1.54e+03, 5.50e+01, 2.08e+03, 6.99e+01, 2.65e+03, 8.09e+01, 3.18e+03, 9.25e+01, 4.57e+03, 1.33e+02, 5.04e+03, 1.36e+02, 6.49e+03, 1.74e+02, 6.11e+03, 1.70e+02, 6.73e+03, 1.90e+02, 5.98e+03, 1.78e+02, 8.43e+03, 2.36e+02, 6.76e+03, 1.87e+02, 7.78e+03, 2.04e+02, 6.36e+03, 1.89e+02, 7.25e+03, 2.00e+02, 8.87e+03, 2.37e+02, 8.32e+03, 2.25e+02, 6.27e+03, 1.65e+02, 9.27e+03, 2.33e+02, 9.13e+03, 2.39e+02, 6.61e+03, 1.71e+02, 7.12e+03, 1.99e+02, 1.09e+04, 2.69e+02
412.0, 8.46e+00, 1.01e+00, 1.97e+01, 2.21e+00, 1.18e+02, 7.03e+00, 4.20e+02, 2.08e+01, 9.28e+02, 3.74e+01, 1.99e+03, 6.87e+01, 2.40e+03, 7.28e+01, 3.04e+03, 8.50e+01, 3.92e+03, 1.07e+02, 5.22e+03, 1.39e+02, 6.37e+03, 1.65e+02, 7.81e+03, 1.91e+02, 7.50e+03, 1.95e+02, 7.29e+03, 1.96e+02, 5.63e+03, 1.72e+02, 8.74e+03, 2.34e+02, 7.06e+03, 2.08e+02, 9.10e+03, 2.38e+02, 5.37e+03, 1.65e+02, 6.64e+03, 1.82e+02, 8.85e+03, 2.32e+02, 9.22e+03, 2.37e+02, 6.44e+03, 1.80e+02, 9.03e+03, 2.29e+02, 9.65e+03, 2.46e+02, 6.97e+03, 1.84e+02, 8.23e+03, 2.23e+02, 1.11e+04, 2.77e+02
391.5, 8.08e+00, 1.02e+00, 1.70e+01, 1.84e+00, 9.91e+01, 7.00e+00, 4.37e+02, 2.38e+01, 1.01e+03, 4.24e+01, 1.58e+03, 5.31e+01, 2.63e+03, 7.86e+01, 3.40e+03, 9.64e+01, 3.90e+03, 1.08e+02, 5.86e+03, 1.58e+02, 6.21e+03, 1.67e+02, 8.78e+03, 2.18e+02, 7.12e+03, 2.02e+02, 6.88e+03, 1.96e+02, 5.87e+03, 1.79e+02, 7.80e+03, 2.18e+02, 7.05e+03, 1.99e+02, 8.00e+03, 2.30e+02, 5.42e+03, 1.68e+02, 7.67e+03, 2.24e+02, 8.52e+03, 2.34e+02, 9.08e+03, 2.51e+02, 6.60e+03, 1.88e+02, 9.13e+03, 2.42e+02, 9.18e+03, 2.45e+02, 6.93e+03, 1.89e+02, 7.51e+03, 2.09e+02, 1.02e+04, 2.68e+02
371.0, 1.11e+01, 1.42e+00, 1.37e+01, 1.60e+00, 2.13e+02, 1.85e+01, 3.57e+02, 2.06e+01, 1.05e+03, 4.33e+01, 1.92e+03, 6.21e+01, 2.59e+03, 7.55e+01, 3.08e+03, 8.50e+01, 3.84e+03, 1.07e+02, 4.64e+03, 1.24e+02, 6.51e+03, 1.75e+02, 8.28e+03, 2.09e+02, 8.39e+03, 2.09e+02, 7.71e+03, 2.02e+02, 5.50e+03, 1.60e+02, 8.96e+03, 2.45e+02, 6.70e+03, 2.05e+02, 6.61e+03, 1.85e+02, 6.65e+03, 1.90e+02, 7.37e+03, 2.12e+02, 8.39e+03, 2.24e+02, 8.49e+03, 2.26e+02, 6.57e+03, 1.82e+02, 9.23e+03, 2.40e+02, 8.53e+03, 2.18e+02, 6.76e+03, 1.83e+02, 7.62e+03, 2.11e+02, 9.44e+03, 2.37e+02
