t, 560.5, 560.5_err, 550.0, 550.0_err, 529.5, 529.5_err, 505.0, 505.0_err, 481.0, 481.0_err, 457.5, 457.5_err, 434.0, 434.0_err, 412.0, 412.0_err, 391.5, 391.5_err, 371.0, 371.0_err
ms, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3
118.9, 5.70e+18, 3.87e+17, 5.41e+18, 3.88e+17, 5.94e+18, 3.08e+17, 6.05e+18, 2.58e+17, 5.55e+18, 2.47e+17, 5.69e+18, 2.42e+17, 5.27e+18, 2.11e+17, 4.54e+18, 2.03e+17, 3.83e+18, 1.87e+17, 3.95e+18, 1.93e+17
121.9, 6.88e+18, 3.84e+17, 8.84e+18, 4.33e+17, 6.53e+18, 2.65e+17, 9.42e+18, 2.84e+17, 8.67e+18, 2.80e+17, 9.79e+18, 3.15e+17, 6.56e+18, 2.33e+17, 5.43e+18, 2.16e+17, 5.49e+18, 2.16e+17, 4.88e+18, 2.13e+17
125.0, 4.35e+18, 3.45e+17, 6.00e+18, 3.85e+17, 9.13e+18, 3.17e+17, 1.07e+19, 2.98e+17, 1.44e+19, 3.27e+17, 1.50e+19, 3.46e+17, 1.48e+19, 3.25e+17, 1.34e+19, 3.13e+17, 9.29e+18, 2.59e+17, 7.92e+18, 2.31e+17
128.0, 7.07e+18, 4.09e+17, 8.30e+18, 4.18e+17, 8.98e+18, 3.10e+17, 1.40e+19, 3.35e+17, 1.90e+19, 3.64e+17, 2.11e+19, 3.94e+17, 2.05e+19, 3.55e+17, 1.97e+19, 3.58e+17, 1.69e+19, 3.30e+17, 1.52e+19, 3.14e+17
131.0, 9.09e+18, 4.42e+17, 1.10e+19, 4.61e+17, 1.36e+19, 3.53e+17, 1.64e+19, 3.60e+17, 2.12e+19, 3.84e+17, 2.37e+19, 4.13e+17, 2.68e+19, 4.04e+17, 2.77e+19, 4.13e+17, 2.67e+19, 4.05e+17, 2.66e+19, 4.00e+17
134.1, 1.38e+19, 5.31e+17, 1.32e+19, 5.16e+17, 1.72e+19, 3.83e+17, 2.20e+19, 4.13e+17, 2.58e+19, 4.20e+17, 3.03e+19, 4.63e+17, 3.45e+19, 4.52e+17, 3.87e+19, 4.77e+17, 3.91e+19, 4.87e+17, 4.04e+19, 4.86e+17
137.1, 1.21e+19, 5.07e+17, 1.18e+19, 4.84e+17, 1.58e+19, 3.71e+17, 2.24e+19, 4.17e+17, 2.80e+19, 4.37e+17, 3.09e+19, 4.63e+17, 3.69e+19, 4.63e+17, 4.45e+19, 5.08e+17, 4.75e+19, 5.31e+17, 4.80e+19, 5.27e+17
140.2, 1.42e+19, 5.26e+17, 1.51e+19, 5.29e+17, 1.85e+19, 3.83e+17, 2.49e+19, 4.39e+17, 3.37e+19, 4.69e+17, 3.88e+19, 5.15e+17, 4.34e+19, 5.01e+17, 4.99e+19, 5.36e+17, 5.37e+19, 5.60e+17, 5.33e+19, 5.53e+17
143.2, 9.14e+18, 4.25e+17, 1.39e+19, 5.07e+17, 2.27e+19, 4.14e+17, 3.16e+19, 4.86e+17, 3.84e+19, 4.99e+17, 4.16e+19, 5.37e+17, 5.02e+19, 5.36e+17, 5.32e+19, 5.48e+17, 5.44e+19, 5.61e+17, 5.50e+19, 5.56e+17
146.2, 1.69e+19, 5.49e+17, 1.66e+19, 5.39e+17, 2.26e+19, 4.14e+17, 3.26e+19, 4.89e+17, 4.10e+19, 5.12e+17, 4.80e+19, 5.64e+17, 5.52e+19, 5.56e+17, 6.02e+19, 5.79e+17, 6.42e+19, 6.07e+17, 6.04e+19, 5.84e+17
149.2, 1.50e+19, 5.20e+17, 1.87e+19, 5.62e+17, 2.23e+19, 4.07e+17, 3.37e+19, 4.99e+17, 4.26e+19, 5.22e+17, 4.78e+19, 5.66e+17, 5.80e+19, 5.67e+17, 6.49e+19, 6.01e+17, 6.33e+19, 6.03e+17, 6.38e+19, 5.92e+17
152.3, 1.67e+19, 5.38e+17, 2.04e+19, 5.92e+17, 2.70e+19, 4.47e+17, 3.70e+19, 5.25e+17, 4.50e+19, 5.34e+17, 5.46e+19, 5.94e+17, 6.35e+19, 5.89e+17, 7.43e+19, 6.40e+17, 7.60e+19, 6.54e+17, 7.37e+19, 6.36e+17
155.3, 1.59e+19, 5.24e+17, 1.88e+19, 5.62e+17, 2.42e+19, 4.25e+17, 3.32e+19, 4.99e+17, 4.28e+19, 5.16e+17, 4.84e+19, 5.69e+17, 5.82e+19, 5.64e+17, 6.49e+19, 5.94e+17, 6.45e+19, 6.09e+17, 6.95e+19, 6.12e+17
158.4, 1.77e+19, 5.53e+17, 1.89e+19, 5.69e+17, 2.79e+19, 4.53e+17, 3.75e+19, 5.25e+17, 4.90e+19, 5.53e+17, 5.38e+19, 5.95e+17, 5.99e+19, 5.73e+17, 6.31e+19, 5.88e+17, 6.12e+19, 5.91e+17, 6.49e+19, 5.97e+17
161.4, 1.71e+19, 5.41e+17, 2.09e+19, 5.90e+17, 2.50e+19, 4.30e+17, 3.46e+19, 5.02e+17, 4.44e+19, 5.27e+17, 4.83e+19, 5.61e+17, 5.17e+19, 5.30e+17, 5.10e+19, 5.27e+17, 5.08e+19, 5.38e+17, 5.10e+19, 5.32e+17
164.4, 2.22e+19, 6.05e+17, 2.32e+19, 6.17e+17, 3.22e+19, 4.71e+17, 4.28e+19, 5.54e+17, 5.31e+19, 5.70e+17, 5.61e+19, 6.04e+17, 6.31e+19, 5.87e+17, 6.54e+19, 5.99e+17, 6.31e+19, 5.99e+17, 6.41e+19, 5.93e+17
167.5, 2.28e+19, 6.13e+17, 2.81e+19, 6.59e+17, 3.40e+19, 4.86e+17, 4.46e+19, 5.62e+17, 5.27e+19, 5.74e+17, 5.55e+19, 5.98e+17, 5.69e+19, 5.56e+17, 5.71e+19, 5.62e+17, 5.70e+19, 5.67e+17, 5.42e+19, 5.50e+17
170.5, 2.49e+19, 6.32e+17, 2.71e+19, 6.62e+17, 3.73e+19, 5.06e+17, 5.01e+19, 5.98e+17, 5.95e+19, 6.08e+17, 5.89e+19, 6.31e+17, 6.44e+19, 5.98e+17, 6.51e+19, 5.97e+17, 5.99e+19, 5.81e+17, 5.72e+19, 5.58e+17
173.5, 2.58e+19, 6.42e+17, 2.83e+19, 6.53e+17, 3.54e+19, 4.96e+17, 4.85e+19, 5.89e+17, 5.37e+19, 5.80e+17, 5.02e+19, 5.94e+17, 5.36e+19, 5.49e+17, 5.26e+19, 5.46e+17, 5.16e+19, 5.49e+17, 5.50e+19, 5.52e+17
176.6, 2.24e+19, 6.14e+17, 2.82e+19, 6.79e+17, 3.86e+19, 5.23e+17, 5.49e+19, 6.32e+17, 6.07e+19, 6.15e+17, 5.78e+19, 6.23e+17, 6.27e+19, 5.91e+17, 6.15e+19, 5.90e+17, 6.03e+19, 5.90e+17, 6.07e+19, 5.80e+17
179.6, 2.50e+19, 6.47e+17, 2.87e+19, 6.79e+17, 4.17e+19, 5.37e+17, 5.75e+19, 6.41e+17, 6.73e+19, 6.57e+17, 6.42e+19, 6.54e+17, 6.98e+19, 6.22e+17, 6.96e+19, 6.26e+17, 6.70e+19, 6.18e+17, 6.60e+19, 6.07e+17
182.6, 2.13e+19, 5.93e+17, 2.82e+19, 6.64e+17, 4.07e+19, 5.29e+17, 5.53e+19, 6.27e+17, 6.64e+19, 6.40e+17, 6.35e+19, 6.53e+17, 6.73e+19, 6.09e+17, 6.94e+19, 6.20e+17, 6.68e+19, 6.22e+17, 6.50e+19, 6.01e+17
185.7, 2.69e+19, 6.57e+17, 3.27e+19, 7.12e+17, 4.29e+19, 5.45e+17, 5.71e+19, 6.42e+17, 6.51e+19, 6.48e+17, 6.24e+19, 6.42e+17, 6.29e+19, 5.96e+17, 6.31e+19, 5.99e+17, 6.11e+19, 6.05e+17, 6.09e+19, 5.89e+17
188.7, 2.56e+19, 6.52e+17, 3.33e+19, 7.41e+17, 4.62e+19, 5.72e+17, 6.16e+19, 6.74e+17, 7.56e+19, 7.04e+17, 6.99e+19, 6.89e+17, 7.63e+19, 6.47e+17, 7.48e+19, 6.54e+17, 7.18e+19, 6.48e+17, 7.47e+19, 6.43e+17
191.7, 2.41e+19, 6.38e+17, 2.85e+19, 6.84e+17, 4.15e+19, 5.38e+17, 6.19e+19, 6.63e+17, 7.34e+19, 6.79e+17, 7.21e+19, 6.93e+17, 7.39e+19, 6.41e+17, 7.59e+19, 6.56e+17, 7.42e+19, 6.56e+17, 7.18e+19, 6.33e+17
194.8, 2.58e+19, 6.46e+17, 3.11e+19, 7.01e+17, 3.94e+19, 5.23e+17, 5.53e+19, 6.38e+17, 6.93e+19, 6.55e+17, 6.94e+19, 6.77e+17, 6.93e+19, 6.28e+17, 6.82e+19, 6.20e+17, 6.78e+19, 6.31e+17, 6.74e+19, 6.16e+17
197.8, 2.18e+19, 6.15e+17, 2.96e+19, 6.90e+17, 4.00e+19, 5.30e+17, 5.84e+19, 6.48e+17, 6.57e+19, 6.36e+17, 6.45e+19, 6.54e+17, 6.45e+19, 6.05e+17, 6.66e+19, 6.07e+17, 6.50e+19, 6.16e+17, 6.42e+19, 6.06e+17
200.8, 2.20e+19, 6.20e+17, 2.58e+19, 6.55e+17, 4.00e+19, 5.29e+17, 6.01e+19, 6.56e+17, 7.01e+19, 6.56e+17, 7.31e+19, 6.85e+17, 7.76e+19, 6.51e+17, 8.17e+19, 6.72e+17, 7.52e+19, 6.54e+17, 7.42e+19, 6.42e+17
