t, 0.5605cm, 0.5605cm, 0.5500cm, 0.5500cm, 0.5295cm, 0.5295cm, 0.5050cm, 0.5050cm, 0.4810cm, 0.4810cm, 0.4575cm, 0.4575cm, 0.4340cm, 0.4340cm, 0.4120cm, 0.4120cm, 0.3915cm, 0.3915cm, 0.3710cm, 0.3710cm
0.1189, 13.5, 1.6, 9.9, 1.4, 10.2, 0.7, 9.9, 0.7, 8.2, 0.7, 13.2, 1.0, 14.9, 1.0, 11.6, 0.9, 13.2, 1.0, 17.5, 1.4
0.1219, 53.5, 5.3, 48.6, 3.9, 60.5, 3.6, 71.2, 3.7, 25.7, 1.6, 13.2, 0.7, 20.1, 1.2, 22.7, 1.6, 19.3, 1.3, 17.5, 1.3
0.1250, 19.8, 2.7, 24.5, 3.0, 35.9, 2.0, 82.8, 3.6, 129.7, 5.2, 101.8, 3.8, 56.5, 1.9, 55.0, 2.0, 66.6, 2.8, 167.9, 9.7
0.1280, 22.7, 2.5, 60.5, 4.9, 40.2, 2.6, 101.8, 4.0, 198.4, 7.2, 195.2, 7.1, 195.2, 6.4, 133.3, 4.2, 161.3, 5.6, 146.6, 5.4
0.1310, 36.5, 3.5, 80.5, 5.1, 68.4, 2.8, 126.1, 5.2, 184.7, 6.2, 252.8, 8.5, 229.8, 6.3, 208.9, 5.3, 236.2, 6.3, 245.8, 6.4
0.1341, 35.1, 2.1, 45.5, 2.7, 101.8, 3.6, 142.7, 5.0, 203.1, 6.4, 285.8, 7.0, 278.1, 6.3, 321.4, 7.1, 252.8, 5.3, 297.4, 6.0
0.1371, 24.5, 1.8, 62.2, 4.1, 86.1, 3.3, 161.3, 5.6, 229.8, 6.6, 321.4, 8.6, 351.5, 7.4, 336.5, 6.4, 345.8, 6.5, 336.5, 6.1
0.1402, 44.2, 2.5, 80.5, 4.1, 149.1, 5.3, 177.4, 5.4, 345.8, 8.3, 388.8, 9.2, 380.4, 7.2, 380.4, 6.5, 395.8, 7.1, 359.8, 6.2
0.1432, 69.6, 4.6, 97.5, 5.5, 181.4, 6.1, 270.4, 7.0, 345.8, 7.8, 407.1, 9.1, 395.8, 7.3, 460.2, 7.8, 447.8, 7.8, 435.4, 7.7
0.1462, 91.1, 4.6, 121.2, 6.3, 177.4, 5.4, 345.8, 8.0, 418.4, 9.0, 467.9, 9.0, 517.5, 9.9, 541.9, 9.2, 569.3, 10.0, 478.9, 8.2
0.1492, 88.6, 4.7, 157.0, 8.5, 208.9, 7.2, 351.5, 8.2, 470.5, 11.1, 526.8, 11.7, 541.9, 9.4, 612.6, 10.2, 612.6, 10.6, 637.5, 11.2
0.1523, 102.4, 5.4, 114.7, 5.7, 198.4, 5.4, 345.8, 8.0, 492.6, 10.7, 596.0, 11.5, 637.5, 11.2, 655.7, 10.4, 721.2, 11.7, 701.2, 11.6
0.1553, 123.2, 6.6, 146.6, 7.7, 240.1, 6.9, 359.8, 9.6, 517.5, 11.7, 566.2, 11.6, 655.7, 11.9, 721.2, 12.2, 688.9, 13.1, 753.6, 12.1
0.1584, 107.2, 5.8, 146.6, 7.6, 229.8, 6.8, 380.4, 8.5, 541.9, 11.1, 596.0, 12.1, 701.2, 13.1, 721.2, 12.7, 701.2, 13.2, 741.2, 12.6
0.1614, 117.9, 6.4, 157.0, 7.3, 218.3, 6.4, 447.8, 10.8, 596.0, 13.0, 721.2, 16.1, 721.2, 14.0, 688.9, 13.9, 721.2, 14.4, 673.8, 12.6
0.1644, 133.3, 6.3, 177.4, 8.1, 336.5, 8.0, 492.6, 10.5, 673.8, 13.4, 685.1, 13.3, 833.5, 15.6, 833.5, 14.7, 771.3, 14.2, 872.7, 15.8
0.1675, 129.7, 6.2, 229.8, 9.7, 327.1, 7.7, 514.7, 10.6, 721.2, 14.9, 741.2, 14.3, 741.2, 13.3, 771.3, 15.2, 771.3, 14.1, 771.3, 15.8
0.1705, 167.9, 7.9, 195.2, 8.4, 388.8, 9.3, 556.9, 11.1, 833.5, 17.9, 757.7, 16.5, 753.6, 12.8, 872.7, 14.8, 833.5, 15.9, 721.2, 13.2
0.1735, 167.9, 7.9, 305.9, 11.6, 395.8, 10.1, 655.7, 14.5, 721.2, 15.0, 701.2, 16.5, 741.2, 14.5, 637.5, 13.0, 655.7, 13.4, 753.6, 14.0
0.1766, 110.2, 5.0, 146.6, 5.8, 285.8, 6.4, 579.5, 12.2, 673.8, 12.9, 673.8, 13.5, 721.2, 13.1, 673.8, 12.0, 793.3, 15.4, 757.7, 14.6
0.1796, 117.9, 5.3, 167.9, 7.3, 314.3, 6.9, 556.9, 10.5, 793.3, 15.6, 757.7, 15.6, 793.3, 14.1, 793.3, 13.7, 793.3, 14.5, 793.3, 13.9
0.1826, 138.7, 7.1, 203.1, 8.2, 321.4, 6.8, 566.2, 10.8, 872.7, 16.6, 833.5, 17.0, 771.3, 13.9, 828.9, 13.9, 848.5, 15.5, 815.3, 14.1
0.1857, 135.5, 5.6, 195.2, 7.5, 388.8, 8.6, 566.2, 10.9, 721.2, 14.6, 673.8, 12.8, 622.8, 10.5, 637.5, 11.8, 673.8, 12.5, 673.8, 12.2
0.1887, 112.0, 4.7, 135.5, 5.3, 290.5, 6.0, 506.3, 9.4, 771.3, 14.7, 741.2, 13.7, 757.7, 12.6, 753.6, 12.5, 793.3, 13.9, 771.3, 13.4
0.1917, 97.5, 4.2, 142.7, 6.2, 292.1, 6.7, 506.3, 9.1, 721.2, 13.1, 815.3, 15.0, 771.3, 13.5, 793.3, 13.4, 771.3, 13.8, 741.2, 12.4
0.1948, 164.0, 7.7, 223.4, 10.5, 380.4, 8.4, 506.3, 10.0, 637.5, 11.6, 655.7, 11.9, 596.0, 10.0, 637.5, 11.0, 637.5, 11.5, 626.2, 11.3
0.1978, 107.2, 5.1, 177.4, 7.5, 290.5, 6.2, 556.9, 10.6, 793.3, 15.2, 753.6, 14.2, 688.9, 12.8, 771.3, 13.8, 721.2, 13.2, 741.2, 13.5
0.2008, 86.1, 3.9, 142.7, 6.4, 285.8, 6.2, 541.9, 10.4, 701.2, 12.6, 815.3, 13.9, 872.7, 14.3, 848.5, 14.2, 848.5, 14.9, 793.3, 13.0
